i0,i1,i2,i3,i4,i5,i6,i7,i8,i9,
-32828.0,-28942.0,-7014.0,19826.0,35157.0,36245.0,27697.0,3934.0,-21949.0,-32126.0,
-31794.1,-32775.1,-30310.1,-10650.1,16670.9,34295.9,36307.9,29929.9,7433.898,-19109.1,
-31284.3,-32754.29,-31271.3,-14148.3,13445.7,33124.7,36317.7,31734.7,10817.7,-15982.3,
-31592.2,-32751.2,-30759.2,-12083.2,15365.8,33814.8,36316.8,30739.8,8810.797,-17862.2,
-31705.9,-32748.9,-30498.9,-11266.9,16111.1,34086.1,36297.1,30278.1,8026.102,-18577.9,
-30941.3,-32703.3,-31595.3,-15737.3,11825.7,32447.7,36323.7,32464.7,12335.7,-14420.3,
-30492.2,-32690.2,-31887.2,-17331.2,10219.8,31690.8,36303.8,33136.8,13902.8,-12853.2,
-30105.2,-32658.2,-32061.2,-18574.2,8880.797,31004.8,36312.8,33590.8,15134.8,-11525.2,
-29626.2,-32639.2,-32234.2,-19940.2,7316.797,30190.8,36285.8,34087.8,16540.8,-9982.203,
-32689.4,-31806.4,-16884.4,10708.6,31925.6,36316.6,32946.6,13450.6,-13341.4,-30626.4,
-29317.5,-32650.5,-32311.5,-20692.5,6413.5,29681.5,36292.5,34387.5,17338.5,-9141.5,
-28681.0,-32599.0,-32430.0,-22013.0,4760.0,28663.0,36279.0,34808.0,18744.0,-7531.0,
-32612.9,-32370.9,-21259.9,5693.101,29273.1,36280.1,34562.1,17911.1,-8440.898,-29034.9,
-28813.5,-32591.5,-32391.5,-21757.5,5107.5,28893.5,36282.5,34717.5,18443.5,-7890.5,
-29905.2,-32638.2,-32122.2,-19208.2,8159.797,30678.8,36298.8,33834.8,15778.8,-10877.2,
-29431.9,-32598.9,-32258.9,-20434.9,6744.102,29875.1,36292.1,34252.1,17038.1,-9476.898,
-30163.7,-32634.7,-32036.7,-18458.7,9006.297,31105.3,36297.3,33558.3,15017.3,-11690.7,
-26693.0,-32463.0,-32624.0,-25102.0,407.0,25755.0,36139.0,35616.0,22299.0,-3334.0,
-32623.5,-25016.5,511.5,25836.5,36115.5,35594.5,22215.5,-3445.5,-26723.5,-32464.5,
-27087.7,-32473.7,-32584.7,-24574.7,1198.297,26320.3,36164.3,35485.3,21675.3,-4122.703,
-32397.2,-32670.2,-26138.2,-1360.203,24444.8,35969.8,35830.8,23656.8,-1632.203,-25704.2,
-26058.2,-32402.2,-32656.2,-25808.2,-797.2031,24883.8,36034.8,35777.8,23225.8,-2200.203,
-32397.2,-32663.2,-26066.2,-1213.203,24555.8,36005.8,35811.8,23565.8,-1794.203,-25805.2,
-27539.7,-32495.7,-32550.7,-24008.7,2011.297,26941.3,36222.3,35346.3,20991.3,-4917.703,
-32308.9,-32708.9,-27191.9,-3181.898,23002.1,35786.1,36038.1,25082.1,115.1016,-24631.9,
-32354.8,-32672.8,-26433.8,-1901.797,24010.2,35937.2,35892.2,24068.2,-1143.797,-25400.8,
-32252.6,-32712.6,-27571.6,-3968.602,22396.4,35700.4,36073.4,25629.4,873.3984,-24167.6,
-32317.0,-32687.0,-26915.0,-2713.0,23405.0,35853.0,36002.0,24691.0,-358.0,-24961.0,
-32271.4,-32687.4,-27388.4,-3630.398,22636.6,35730.6,36052.6,25404.6,526.6016,-24373.4,
-32292.0,-32688.0,-27071.0,-3040.0,23134.0,35828.0,36004.0,24933.0,-50.0,-24758.0,
-32271.9,-32697.9,-27352.9,-3524.899,22750.1,35742.1,36066.1,25308.1,409.1015,-24427.9,
-32231.4,-32687.4,-27698.4,-4247.398,22175.6,35651.6,36101.6,25817.6,1101.601,-23983.4,
-32359.6,-32667.6,-26278.6,-1550.601,24278.4,35985.4,35857.4,23829.4,-1488.602,-25605.6,
-32289.6,-32682.6,-26983.6,-2859.602,23291.4,35853.4,35986.4,24797.4,-244.6016,-24868.6,
-32134.4,-32720.4,-28355.4,-5610.399,21069.6,35445.6,36191.6,26792.6,2425.602,-23104.4,
-32185.1,-32688.1,-27931.1,-4752.101,21765.9,35575.9,36135.9,26167.9,1575.898,-23665.1,
-32438.4,-32610.4,-25258.4,196.6016,25646.6,36102.6,35657.6,22491.6,-3184.398,-26603.4,
-32703.3,-28054.3,-4997.297,21574.7,35534.7,36157.7,26324.7,1835.703,-23512.3,-32160.3,
-22422.4,-31634.4,-32263.4,-26888.4,-4390.399,20371.6,34888.6,35972.6,24678.6,1687.601,
-28575.7,-26746.7,-14301.7,4297.297,20808.3,29134.29,26477.3,13868.3,-4108.703,-20852.7,
-27975.6,-32591.6,-32699.6,-24631.6,1990.398,27588.4,36174.4,35589.4,21681.4,-5125.602,
-26388.2,-32521.2,-32801.2,-26742.2,-1435.203,25293.8,36083.8,35972.8,24412.8,-1875.203,
-32388.3,-32831.3,-28105.3,-4144.297,23202.7,35854.7,36135.7,26314.7,778.7031,-24817.3,
-32441.6,-32810.6,-27432.6,-2766.602,24240.4,35985.4,36045.4,25369.4,-597.6016,-25591.6,
-32502.8,-32797.8,-26979.8,-1913.797,24934.2,36045.2,36005.2,24729.2,-1415.797,-26103.8,
-32516.1,-32781.1,-26621.1,-1260.102,25408.9,36071.9,35950.9,24244.9,-2061.102,-26437.1,
-32360.1,-32819.1,-28358.1,-4682.102,22758.9,35807.9,36147.9,26706.9,1260.898,-24463.1,
-32401.8,-32811.8,-27818.8,-3503.797,23706.2,35937.2,36094.2,25900.2,101.2031,-25202.8,
-32470.5,-32783.5,-26945.5,-1913.5,24922.5,36020.5,35997.5,24700.5,-1433.5,-26094.5,
-32601.3,-32629.3,-24181.3,2727.703,28155.7,36188.7,35491.7,21087.7,-5927.297,-28312.3,
-32433.6,-32804.6,-27471.6,-2824.602,24242.4,35984.4,36039.4,25427.4,-556.6016,-25602.6,
-32475.2,-32761.2,-26792.2,-1562.203,25193.8,36054.79,35989.8,24426.8,-1780.203,-26294.2,
-32554.4,-32672.4,-24988.4,1496.601,27320.6,36162.6,35639.6,22081.6,-4711.399,-27774.4,
-29270.9,-32622.9,-32507.9,-22453.9,5184.102,29629.1,36209.1,35069.1,19051.1,-8286.899,
-27189.9,-32517.9,-32714.9,-25778.9,215.1016,26445.1,36137.1,35806.1,23097.1,-3498.898,
-32522.4,-32695.4,-25437.4,796.6015,26861.6,36162.6,35740.6,22640.6,-4086.399,-27460.4,
-32577.2,-32641.2,-24299.2,2527.797,28039.8,36171.8,35519.8,21225.8,-5729.203,-28238.2,
-28912.1,-32605.1,-32551.1,-23157.1,4209.898,29038.9,36200.9,35256.9,19869.9,-7351.102,
-28056.7,-32546.7,-32645.7,-24625.7,2088.297,27733.3,36170.3,35570.29,21613.3,-5300.703,
-32564.0,-32613.0,-24135.0,2829.0,28206.0,36185.0,35468.0,20999.0,-6035.0,-28340.0,
-28646.7,-32578.7,-32592.7,-23644.7,3543.297,28654.3,36185.3,35352.3,20433.3,-6705.703,
-30247.7,-32641.7,-32261.7,-19940.7,8371.297,31304.3,36233.3,34305.3,16286.3,-11408.7,
