i0,i1,i2,i3,i4,i5,i6,i7,i8,i9
-120.5303,-30.9248,50.91211,164.2465,194.335,153.3271,19.72168,-121.1162,-139.4492,-170.5381
254.5703,174.9834,-21.03613,-172.269,-228.2114,-205.3652,-140.7793,-12.76074,104.4678,246.4155
-36.76465,22.27539,104.1106,157.9272,93.25098,-18.43945,-87.48145,-107.3061,-74.12891,-53.45508
41.77148,-6.300781,-32.47754,-4.805542,-10.19727,-26.36523,-43.29199,-38.12061,41.21277,78.60401
-8.831665,47.03467,46.25,-0.1689453,0.6523438,4.234009,1.367676,-20.84277,-50.4248,-19.24609
-30.36328,-25.22949,-25.88867,36.90424,90.6294,37.76953,-4.363281,-44.70508,-17.50012,-17.22314
180.8975,257.8037,173.9062,-12.61621,-133.7158,-183.1044,-194.0107,-131.1084,-52.58691,94.51367
440.2139,303.1445,51.0166,-222.7354,-377.1206,-357.8057,-279.7373,-70.61035,141.1465,372.5281
-344.1914,-441.5671,-379.2969,-195.3994,37.32227,324.7861,495.162,451.8916,185.9922,-134.7285
-133.2959,-159.7367,-191.1997,-128.4648,-50.30273,75.09571,177.5345,232.9976,180.2617,-2.900391
-21.0498,135.4136,260.0616,261.9102,135.9189,-49.74903,-176.209,-212.851,-203.71,-129.7158
320.5176,241.2842,29,-181.1768,-266.2136,-267.1147,-197.8799,-65.59375,110.5859,276.6181
-26.84424,-43.51758,-45.56738,-51.07129,32.32422,99.84278,72.51855,16.56641,-31.93066,-22.32056
-14.47949,35.93066,134.5518,171.1121,127.8706,31.27637,-107.1348,-166.7588,-147.317,-65.0752
135.6191,-60.21778,-212.4687,-252.9871,-188.46,-63.82324,14.01367,153.2656,246.7839,228.2563
-50.70215,-138.8545,-127.407,-81.59619,-12.44824,7.499023,61.64941,137.2114,140.3945,64.24219
-24.95801,6.541992,22.93067,79.50733,101.8664,82.54883,-1.948242,-95.33887,-103.9077,-67.27161
-63.05029,-9.991676,39.93896,38.19727,31.41699,-7.75,26.19091,27.26563,-21.99219,-60.21192
378.2334,154.8428,-161.1807,-345.8535,-398.158,-336.4365,-135.0459,77.97657,306.6455,458.9558
484.978,327.0166,14.84375,-254.6289,-426.4282,-431.9766,-297.0156,-65.84375,215.627,433.4292
-312.0674,-36.95606,230.4521,478.5627,524.0185,341.6621,5.549805,-303.8604,-461.9705,-465.4233
-108.2822,-154.6929,-175.0889,-146.3721,-59.58692,29.48633,170.894,224.2934,183.5742,35.79004
-353.5496,-261.8125,-95.70313,110.5801,316.1235,400.7488,305.0117,83.90723,-176.376,-328.917
-53.96778,-75.4624,-25.58087,25.72901,27.42285,6.168945,10.6626,53.78583,26.4707,4.779297
-54.40625,1.425781,98.47022,193.4697,157.126,46,-78.83496,-122.8772,-134.876,-105.5322
-70.6709,-56.6084,-7.998047,66.76709,166.0327,156.0801,54.01465,-55.59668,-112.3623,-139.625
-87.77246,-46.8418,63.24219,171.9722,202.8638,119.1787,-26.75195,-119.8359,-139.5674,-136.456
236.1471,230.2495,130.3564,-39.87988,-170.0332,-205.9422,-175.0449,-129.1533,1.083984,122.2378
-84.19434,-100.959,-109.2214,-99.27246,-52.20899,-9.603516,80.16309,182.4258,143.4746,49.41211
-96.01264,-90.85352,-78.7041,-46.32226,36.64502,106.2196,154.0576,102.9082,-4.475586,-83.44238
175.71,75.11719,-37.4873,-120.6172,-135.2301,-127.7134,-76.11719,-15.51367,77.62061,184.2283
-200.6965,-178.8203,-75.80274,20.77637,139.8555,263.4971,230.6182,88.59962,-102.9805,-185.0601
-104.8027,11.21973,144.8657,281.791,245.6494,108.209,-81.81348,-199.459,-229.3865,-176.2422
-282.573,-217.0576,-83.55762,66.76856,237.4409,328.7773,267.2617,85.76075,-139.5645,-263.2392
-50.18457,-221.3379,-278.2412,-248.3457,-161.457,-2.220703,165.9331,307.8361,323.9399,164.0508
-108.416,-14.02344,82.74951,187.521,215.959,94.00977,-31.38281,-131.1572,-151.9277,-143.3638
113.9019,242.6962,259.4248,161.5635,-43.56641,-161.9048,-205.7001,-225.4233,-143.5664,2.56543
278.2314,98.54492,-113.2441,-262.8062,-266.5412,-230.8281,-115.1387,30.65039,225.2085,355.9485
-270.7174,-251.1118,-147.2725,18.80371,174.978,296.3122,292.7041,157.8662,-58.20996,-213.3852
-77.09961,-252.1343,-331.5167,-314.4722,-153.2852,-17.49512,213.5391,366.9212,360.8809,204.6924
-201.6963,-169.8564,-97.80372,62.04102,179.4878,269.2935,227.4502,52.39746,-113.4473,-207.8894
-229.0964,-217.9595,-189.4414,-81.86523,56.71777,189.0974,292.9575,230.4404,80.86426,-131.7158
-166.3687,-182.1226,-141.9658,-73.00195,27.00977,141.9634,246.7173,211.5596,40.5957,-104.415
19.50195,204.436,353.239,328.376,152.9736,-90.70801,-236.6426,-301.4403,-276.5859,-153.1777
-239.3217,-236.7393,-209.9941,-40.88574,101.9883,259.9164,329.3315,196.5869,17.47852,-178.3955
-203.1133,-202.646,-168.2793,-68.11621,55.63282,199.1145,254.6445,218.2783,41.11524,-126.6328
-52.83875,-50.98047,-53.57422,-25.89453,29.03418,106.837,115.9834,57.5752,-41.10645,-85.03613
21.47559,-74.31738,-133.6553,-139.3657,-118.8018,-46.06934,6.723633,105.0569,208.77,170.207
-138.4125,-135.3325,-89.65919,-21.22461,89.31543,181.0073,195.9268,101.2539,-58.18164,-124.7197
149.8291,279.1655,243.6523,71.15918,-113.1572,-201.833,-213.1636,-178.6484,-83.15821,46.15723
-127.8219,-105.2588,-70.3125,-33.92481,61.84814,176.6169,175.0581,77.11133,-44.28028,-109.0513
-123.7441,-75.30273,-1.280273,91.36817,187.2939,177.1514,80.70899,-57.31348,-122.9634,-155.8865
-50.07813,-76.55811,-89.98755,-73.06738,-45.95313,-37.71582,83.76197,142.1946,113.2705,34.15625
-37.66992,-52.28906,-25.66711,-45.28028,-2.729492,-37.33008,5.29248,76.67078,100.2813,18.72949
-55.14356,-76.19598,-79.29785,-64.89063,-63.9375,10.55225,91.60321,148.7056,106.2969,-17.65625
-85.12134,-79.83398,-48.51758,-29.15039,16.85986,99.5315,134.2437,89.9248,-10.44336,-87.45508
96.76661,102.5625,20.28906,-52.7207,-67.31275,-34.97314,-56.76758,-27.49219,-24.4834,44.11353
4.227051,-12.63672,-39.93945,-42.91894,24.55702,53.57129,32.43262,-7.263672,-12.28565,0.2409973
28.58496,-13.43457,0.3325195,59.39017,34.23633,6.822266,-56.15918,-74.93066,-10.98001,26.17139
-31.07031,14.41187,68.94483,69.57325,1.413086,-23.33496,-42.81641,1.655762,-11.98242,-46.81934
-0.8466797,-83.87891,-90.88965,-79.03418,-34.57813,-34.9502,14.08301,74.08838,135.2358,100.7793
15.16162,38.82544,15.34473,-30.15918,-50.83692,-15.16065,23.17578,31.65625,-1.84082,-26.16406
-4.982422,-41.81934,-37.07031,-23.58862,41.93848,46.5752,4.412109,-7.335938,1.182373,20.65479
-1.655273,42.08154,80.82959,19.38379,-6.102539,-79.13965,-63.87744,-5.625244,10.81934,3.305664
