ID, Amp, Shift, Vlotage, Temp, Humidity 
369, 13, 4.32, 12.06, 17.49638, 81.70138 
370, 14, 4.37, 12.06, 17.49638, 81.64187 
371, 14, 4.44, 12.06, 17.49638, 81.66018 
372, 14, 4.51, 12.06, 17.49638, 81.65103 
373, 14, 4.5, 12.06, 17.49638, 81.62051 
374, 13, 4.79, 12.06, 17.46967, 81.65561 
375, 12, 5.13, 12.06, 17.48302, 81.65713 
376, 10, 5.49, 12.06, 17.49638, 81.62967 
377, 7, 5.83, 12.06, 17.49638, 81.66018 
378, 4, 6.23, 12.06, 17.49638, 81.60068 
379, 4, 6.21, 12.06, 17.49638, 81.59152 
380, 4, 6.25, 12.07, 17.49638, 81.59152 
381, 4, 6.21, 12.07, 17.48302, 81.57779 
382, 4, 6.2, 12.08, 17.49638, 81.60068 
383, 4, 6.23, 12.08, 17.49638, 81.60068 
384, 4, 6.27, 12.08, 17.45365, 81.57931 
385, 4, 6.28, 12.09, 17.48302, 81.59762 
386, 3, 6.29, 12.09, 17.46967, 81.57321 
387, 4, 6.29, 12.09, 17.46967, 81.58389 
388, 4, 6.3, 12.1, 17.48302, 81.60678 
389, 4, 6.27, 12.1, 17.46967, 81.5549 
390, 4, 6.22, 12.09, 17.46967, 81.5549 
391, 4, 6.26, 12.1, 17.48302, 81.56558 
392, 4, 6.26, 12.09, 17.45365, 81.5198 
393, 4, 6.25, 12.09, 17.45365, 81.57016 
394, 4, 6.21, 12.09, 17.46967, 81.54269 
395, 4, 6.2, 12.08, 17.46967, 81.53354 
396, 4, 6.17, 12.08, 17.45365, 81.55032 
397, 4, 6.22, 12.08, 17.46967, 81.54269 
398, 4, 6.19, 12.08, 17.48302, 81.53659 
399, 4, 6.2, 12.08, 17.48302, 81.52743 
400, 4, 6.24, 12.08, 17.48302, 81.50607 
401, 4, 6.23, 12.08, 17.48302, 81.48623 
402, 4, 6.21, 12.09, 17.46967, 81.4725 
403, 4, 6.2, 12.09, 17.45365, 81.46029 
404, 4, 6.19, 12.1, 17.46967, 81.4725 
405, 4, 6.21, 12.1, 17.48302, 81.48623 
406, 4, 6.23, 12.11, 17.46967, 81.4725 
407, 4, 6.18, 12.11, 17.45365, 81.44045 
408, 4, 6.16, 12.1, 17.45365, 81.40841 
409, 4, 6.15, 12.1, 17.46967, 81.45419 
410, 4, 6.11, 12.11, 17.4403, 81.41756 
411, 4, 6.06, 12.1, 17.46967, 81.45419 
412, 4, 6.05, 12.1, 17.45365, 81.36873 
413, 4, 6.04, 12.1, 17.48302, 81.44656 
414, 4, 6.04, 12.1, 17.46967, 81.43282 
415, 4, 6.01, 12.1, 17.4403, 81.3962 
416, 4, 6.0, 12.1, 17.4403, 81.40535 
